group,variable,value
0,0,0
0,1,32
0,2,148
0,3,58
0,4,4
0,5,2
0,6,750
0,7,0
0,8,610
0,9,10
1,0,288
1,1,0
1,2,48
1,3,208
1,4,60
1,5,0
1,6,136
1,7,0
1,8,558
1,9,16
2,0,282
2,1,12
2,2,0
2,3,30
2,4,158
2,5,16
2,6,844
2,7,0
2,8,1134
2,9,16
3,0,496
3,1,56
3,2,132
3,3,0
3,4,50
3,5,4
3,6,444
3,7,0
3,8,1012
3,9,78
4,0,188
4,1,22
4,2,380
4,3,96
4,4,0
4,5,0
4,6,674
4,7,0
4,8,1200
4,9,8
5,0,42
5,1,4
5,2,14
5,3,12
5,4,2
5,5,0
5,6,280
5,7,58
5,8,886
5,9,268
6,0,92
6,1,6
6,2,102
6,3,82
6,4,52
6,5,8
6,6,0
6,7,0
6,8,660
6,9,4
7,0,66
7,1,0
7,2,26
7,3,6
7,4,0
7,5,50
7,6,208
7,7,0
7,8,750
7,9,242
8,0,4
8,1,2
8,2,2
8,3,0
8,4,2
8,5,6
8,6,96
8,7,0
8,8,0
8,9,0
9,0,8
9,1,0
9,2,2
9,3,2
9,4,0
9,5,64
9,6,50
9,7,30
9,8,360
9,9,0
